ラベル	満足度	文章	会員ID
自然災害	-1	大災害にも備えをしっかりしてほしい。	1224955597
事故・犯罪	1	大きな犯罪や事故も無く平和な日々を過ごせます。	1225623716
自然災害	1	近くに大きな公園あり何時でも行けます。	1225623716
デジタル生活	-1	高齢になるとデジタル機器の操作が難しいので切り替えは止めてほしい。	1225623716
移動・交通	-1	バスで目的地に行くのに何回か乗り換えることあるので直接行けると便利です。	1225623716
住宅環境	1	安心で静かな暮らしが出来る##自然が豊かで平穏な暮らしが出来る	1229261797
移動・交通	1	バス、電車が便利で不便がない	1229261797
公共空間	-1	図書館などの落ち着く場所の魅力がない	1229261797
買物・飲食	-1	もう少し飲食店が欲しい	1229261797
住宅環境	1	暮らしやすいと思うから。	1234503928
子育て	1	あまり人がいなく暮らしやすいから	1234503928
医療・福祉	-1	病院があまりない	1234503928
移動・交通	-1	不便なため	1234503928
買物・飲食	1	店舗数、種類	1235467291
移動・交通	1	交通機関多い	1235467291
事故・犯罪	-1	治安が悪い	1235467291
自然災害	-1	地震対策	1235467291
住宅環境	1	よかった	1227914766
買物・飲食	1	よかった	1227914766
買物・飲食	-1	よかった	1227914766
事故・犯罪	-1	治安	1227914766
移動・交通	1	本数が多い	1227183688
住宅環境	1	騒音が少ない	1227183688
事故・犯罪	-1	事故が多い	1227183688
医療・福祉	-1	厚生年金支払いが高い	1227183688
移動・交通	1	東京都心に早く行ける	1226629872
買物・飲食	1	生活必需品は最低限揃う	1226629872
事故・犯罪	-1	物騒な事件が時々発生する	1226629872
遊び・娯楽	-1	分からない	1226629872
買物・飲食	1	お店が多くアクセスもよい	1236624040
移動・交通	1	駅やバス停が多い	1236624040
医療・福祉	-1	大きな病院が少ない	1236624040
遊び・娯楽	-1	娯楽施設が少ない	1236624040
医療・福祉	1	大きな病院が、駅の近くに有り、その他もろもろの病院やクリニックが、たくさんあって、楽だから。	1233814983
移動・交通	1	JRと私鉄が交差している駅が有り、新宿まで16分、川崎まで27分、東京駅まで50分くらいなので、便利だと思うから。	1233814983
買物・飲食	-1	飲食店は、それなりにあるが、大手の飲食店が、あまり参入して来ない。特に回転寿司がないのが、不満です。	1233814983
遊び・娯楽	-1	ボーリング場がなく、ゲームセンターが1件しかなく、これと言って、遊べる場所がないのが、不満です。	1233814983
買物・飲食	1	回りにたくさんお店がある	1235422503
移動・交通	1	いろいろな方向に電車を1回乗り換える位で行ける	1235422503
自然の恵み	-1	これ以上自然が壊されないように	1235422503
医療・福祉	-1	大きい病院がすぐそばにあると良い	1235422503
住宅環境	1	都会過ぎず、田舎過ぎず、のどかな場所だから。	1236498573
自然災害	1	大きな川、崖から離れているので。	1236498573
買物・飲食	-1	ここ一年で近隣のスーパーが続々閉店してしまったので、お店の競争のためにも新店舗がほしい。	1236498573
移動・交通	-1	リニア以外も注目して、相模線の複線化、バス路線維持なども注力してほしい。	1236498573
事故・犯罪	1	とくになし	1234931376
移動・交通	1	とくになし	1234931376
買物・飲食	-1	とくになし	1234931376
地域行政	-1	とくになし	1234931376
医療・福祉	1	たちばな台病院の待合時間が無駄がない。仕組みは初見には面倒。	1237034045
移動・交通	1	バスが7分おき。	1237034045
事故・犯罪	-1	空き巣が多い。捕まらない。	1237034045
自然災害	-1	能登の地震でも大変だったので、公園の水道、トイレはしっかりしておくべき(数も)。	1237034045
住宅環境	1	近隣の人との関わり	1235429163
初等・中等教育	1	小学校、中学校が近い	1235429163
遊び・娯楽	-1	近くに遊ぶ場所が少ない	1235429163
自然災害	-1	この前の地震でブロック崩れ発生	1235429163
移動・交通	1	都心に出るときには、小田急線、田園都市線、横浜に出る場合は、相鉄線と手段が豊富で、また相鉄線も都心へ行く直通ができ至極便利。	1231319288
医療・福祉	1	市立図書館を中心に公共の学びの場所が多いと思います。	1231319288
買物・飲食	-1	駅から少し離れたところにショッピングセンターやショッピングモールがあるが、駅そばにはあまりない。特に、大和駅にもう少し大きな店が欲しい。	1231319288
医療・福祉	-1	大和市立病院は、地域の中核病院だが、もう少し高度医療にも対応した信頼の高い病院になってほしい。	1231319288
買物・飲食	1	便利に買い物できる環境にある。	1232419931
住宅環境	1	地域の整備がされており住みやすい。	1232419931
移動・交通	-1	どこへ行くのにも電車、バスのアクセスは良い。	1232419931
移動・交通	-1	最寄り駅に快速が停まるようにして欲しい。	1232419931
移動・交通	1	なし	1231984891
買物・飲食	1	なし	1231984891
事故・犯罪	-1	なし	1231984891
子育て	-1	なし	1231984891
自然の恵み	1	公園が充実	1230775995
自然景観	1	自然が多い	1230775995
子育て	-1	子供の施設の充実	1230775995
医療・福祉	-1	施設の充実	1230775995
移動・交通	1	バス	1235813508
地域行政	1	すべて	1235813508
地域行政	-1	道路	1235813508
移動・交通	-1	なし	1235813508
買物・飲食	1	店が多くあるので買い物や外食には困らない	1230737882
自然景観	1	川や山もあって自然を近くに感じる	1230737882
移動・交通	-1	都心に比べると電車が少ない	1230737882
事故・犯罪	-1	犯罪は起こってほしくない	1230737882
自然景観	1	足腰を鍛えるために山へいくのですが、低い山から高い山、整備されてて、最高です##	1237012413
買物・飲食	1	直ぐ側にドラッグストアや、スーパー、コンビ二があり便利	1237012413
地域行政	-1	水道みちが小学生の通学道にもなっていてその先工業団地があり車の量が多いので道をどちらか一方通行とかにしてほしい	1237012413
初等・中等教育	-1	無料可にしたらいいと思います	1237012413
事故・犯罪	1	自分の住んでいる地域は治安がいい	1236631012
移動・交通	1	京王線と南武線、小田急線を使える	1236631012
買物・飲食	-1	近所にイオン等がない	1236631012
医療・福祉	-1	医療の質	1236631012
デジタル生活	1	全部当てはまらない##仕方なく	1234303618
自然景観	1	全部当てはまらない##仕方なく	1234303618
移動・交通	-1	渋滞	1234303618
地域行政	-1	税金	1234303618
移動・交通	1	東京にも横浜にも出やすい	1233504497
自然の恵み	1	多摩川癒し	1233504497
遊び・娯楽	-1	映画館欲しい。カフェ難民	1233504497
公共空間	-1	マンションばっか	1233504497
自然景観	1	生田緑地など大きくて広い公園がある	1232117131
移動・交通	1	都心に向かう時に便利だなと思う	1232117131
自然災害	-1	あまり心配はしていないが、時々起きる災害はよう注意しています	1232117131
住宅環境	-1	公園などで、たばこが無制限に吸われている	1232117131
環境共生	1	特に無し	1227985651
移動・交通	1	電車の乗り換えで使える横浜駅や新横浜駅にアクセスしやすい	1234876727
遊び・娯楽	1	大体歩いてでも遊べる場所にいけるくらい多い	1234876727
事故・犯罪	-1	昔から頻繁に事故等が多いイメージ	1234876727
住宅環境	-1	家や土地、もしくは家賃が高い	1234876727
住宅環境	1	遊ぶところもたくさんあって何をするにも便利	1233121422
買物・飲食	1	近くにスーパー、コンビニ、専門店などたくさんある	1233121422
医療・福祉	-1	クリニックはたくさんあるが、あまり良いクリニックがないように思う	1233121422
事故・犯罪	-1	中国人が多く、彼らの一部はルールを守らない	1233121422
自然景観	1	少し歩けば川も田んぼもあり、中々見れない野鳥もいてその鳥を見れた時は何故か幸せな気持ちになれます、	1236840886
買物・飲食	1	家の裏にスーパーとかドラッグストアもあり便利です。	1236840886
住宅環境	-1	家の前が道路で朝晩車が多く子供も通学します、せめて時間帯で一方通行にしてもらいたい。	1236840886
買物・飲食	-1	裏にスーパーがあるけどもう1つ位別のスーパーがあればいい	1236840886
自然景観	1	川が近く、川越しに富士山が見える。山も見えるし晴れた日には相模湾の大島も見える。	1234348181
自然災害	1	台風、降雪等の自然災害が少ない	1234348181
買物・飲食	-1	ちょっとしたときに楽しめる、飲食店が少ない	1234348181
遊び・娯楽	-1	ちょっとした時間つぶしの買い物ができる店がない	1234348181
住宅環境	1	自然が多いから	1233594514
都市景観	1	家が多くないから	1233594514
買物・飲食	-1	近くにお店が少なく不便	1233594514
医療・福祉	-1	医療機関が少ないから	1233594514
買物・飲食	1	近隣に店	1236160171
自然景観	1	街中に自然が残る	1236160171
住宅環境	-1	家賃が安くない	1236160171
移動・交通	-1	特に無し	1236160171
公共空間	1	戸外、室内の公共空間が良く整備されていて利用しやすいため。	1229585722
地域行政	1	設問に1番目、2番目という条件を付けるのであれば、最初に断っていただきたかったです。####公共空間とも関連しますが、利用しやすいためです。	1229585722
地域行政	-1	いろいろな手続等をより分かりやすく進めていただきたい。	1229585722
環境共生	-1	ここでも2番目という条件を示されましたが、1番目、2番目があることを予め質問文に提示してほしいものです。##当市は緑が多いですが、少々多すぎる感もあり、順次減らしていく視点も必要かと思います。	1229585722
移動・交通	1	東京各所に便利	1235840234
自然景観	1	大倉山公園の自然	1235840234
医療・福祉	-1	インフルエンザワクチンも高齢者有料	1235840234
買物・飲食	-1	高齢者に優しくなく住宅地でも飲食店がなくなって来ている	1235840234
住宅環境	1	静か	1231327446
移動・交通	1	便利	1231327446
買物・飲食	-1	飲食店	1231327446
遊び・娯楽	-1	店舗	1231327446
住宅環境	1	閑静である	1229341931
事故・犯罪	1	犯罪が周りで起きていない	1229341931
移動・交通	-1	自動車を手放した場合の交通手段が心配	1229341931
自然災害	-1	川が近いので	1229341931
自然景観	1	桜並木	1232200607
住宅環境	1	大通から少し入っていて閑静	1232200607
地域行政	-1	何もして貰っている感が無い	1232200607
医療・福祉	-1	地域の行政が動いている感じが全くしない	1232200607
医療・福祉	1	障害者へのサービスが手厚いから	1231985355
移動・交通	1	横浜市内の交通網が充実しており、外出に困ることがないから。	1231985355
地域行政	-1	公共サービスの改善がもっと早く行われるようになってほしいから。	1231985355
事故・犯罪	-1	地域によって偏りはあるが、ニュースなどで報道される犯罪が多いから。	1231985355
買物・飲食	1	スーパーやコンビニなどが多い	1236903679
移動・交通	1	駅やバス停などが多い	1236903679
医療・福祉	-1	大きな病院が無い	1236903679
自然景観	-1	自然が少ない	1236903679
住宅環境	1	昔ながらの田園地帯と住宅街が共存している点	1232954744
移動・交通	1	鉄道と幹線道路で東京方面と横浜方面両方の繁華街にアクセス出来る点	1232954744
公共空間	-1	信号のない横断歩道や大きめの交差点が多いが、横断歩道自体や停止線などの表示が不明瞭のまま何年も放置されている点	1232954744
買物・飲食	-1	徒歩圏内での商業施設が少ない点	1232954744
買物・飲食	1	ほぼ満足しています。	1235313111
医療・福祉	1	ほぼ満足しています。	1235313111
住宅環境	-1	引っ越したいです。	1235313111
事故・犯罪	-1	投げ捨てのごみが多いです。	1235313111
自然景観	1	緑が豊か	1236645272
買物・飲食	1	スーパーがある	1236645272
移動・交通	-1	電車の本数を増やして欲しい	1236645272
事故・犯罪	-1	事故を減らして欲しい	1236645272
住宅環境	1	比較的交通網が発達していて移動しやすい	1236698819
買物・飲食	1	買い物する場所が多くて困らない	1236698819
事故・犯罪	-1	都会ゆえに犯罪がやや多い	1236698819
自然景観	-1	自然がやや少ないと思われる	1236698819
住宅環境	1	安心安全##	1228646132
自然の恵み	1	近くに里山や畑がある。	1228646132
移動・交通	-1	バス便の充実	1228646132
事故・犯罪	-1	道路の補修	1228646132
事故・犯罪	1	安全性を脅かすことはほとんどない	1232218658
買物・飲食	1	適度の距離にスーパー、ショッピングセンターがある	1232218658
医療・福祉	-1	信頼できる病院	1232218658
地域行政	-1	税金の無駄遣いの防止	1232218658
環境共生	1	都会(新宿·横浜等)へも観光地(江ノ島·鎌倉·富士箱根等)へも比較的短時間で行ける立地。	1230490943
事故・犯罪	1	事件など殆ど起きないので。	1230490943
買物・飲食	-1	近くに大型スーパーが少ないので、茅ヶ崎市にできたら嬉しいです。	1230490943
遊び・娯楽	-1	引っ越してきた人が多く近所付き合いが殆どない。隣人と一緒に何か娯楽をすることなどまったくない。	1230490943
医療・福祉	1	大きな病院がある	1229737956
自然の恵み	1	大山があり自然が多い	1229737956
移動・交通	-1	車がないと移動しづらい	1229737956
事故・犯罪	-1	犯罪がおおくなってきたから	1229737956
自然の恵み	1	水が美味しい	1233811511
移動・交通	1	小田急線が急行でもとまるので便利	1233811511
医療・福祉	-1	かかりつけの病院がなくなった	1233811511
買物・飲食	-1	店が減っている	1233811511
買物・飲食	1	自宅から車で10分圏内にお店がある	1236998709
住宅環境	1	自宅からの景観を気に入ってる	1236998709
事故・犯罪	-1	自宅前の道路に暴走族がよく走っていて煩い	1236998709
公共空間	-1	歩き煙草とか犬のフン等の迷惑行為	1236998709
自然災害	1	津波の心配があまりない	1236297826
買物・飲食	1	特に困っていない	1236297826
子育て	-1	もっと子育てしやすい環境になればいい	1236297826
医療・福祉	-1	家の近くに耳鼻科がないので不便	1236297826
自然災害	1	あまり被災した記憶がない	1227950414
自然景観	1	そこそこ自然公園などがあるので	1227950414
買物・飲食	-1	昔からある商店などが減って代替サービスが見つからなかったりする事	1227950414
自然景観	-1	昔からあった緑が減るのは少しさびしい	1227950414
移動・交通	1	東京、神奈川県内等、行きやすく便利	1234509651
医療・福祉	1	病院が多くあり、また近いため安心している	1234509651
デジタル生活	-1	フリーWi-Fiが利用できる箇所が少ない	1234509651
自然景観	-1	公園や動物園など遊べる箇所が少ない	1234509651
住宅環境	1	どこを見ても緑がある。山に囲まれていて海もあります。田舎ですが、スーパーもあるし生活に不便はありません。	1226910085
医療・福祉	1	総合病院はありませんが専門的な個人病院が多く、不便はありません。	1226910085
移動・交通	-1	路線バスが通っているので基本的に移動に問題はないのですが、本数が少ないのでコミニュティバスなどを運行してほしいです。	1226910085
遊び・娯楽	-1	田舎なので娯楽施設がありません。多くは望まないので、映画館などがあると嬉しいです。	1226910085
買物・飲食	1	近くに店が多くある。	1230288734
住宅環境	1	自分の住んでいるところや周辺多とても静かな住環境	1230288734
事故・犯罪	-1	とくに最近凶悪犯罪が多いので。	1230288734
自然災害	-1	いろいろな災害が多い、都市災害とか。	1230288734
移動・交通	1	横浜線淵野辺駅利用していますが、橋本、町田で私鉄利用できるので以外と便利です	1234217841
自然景観	1	以外と身近に自然環境整っている##	1234217841
都市景観	-1	道路環境があまりに酷い、日常的に交通渋滞起こる改善してほしい##	1234217841
事故・犯罪	-1	治安の改善を徹底してほしいです##	1234217841
移動・交通	1	とにかくどこに行くにも便利	1235264803
買物・飲食	1	店がたくさんある	1235264803
事故・犯罪	-1	治安が良くない	1235264803
地域行政	-1	駅前のが騷しい	1235264803
医療・福祉	1	駅からは遠いが北里病院がある。##また、相模原、矢部には総合病院が駅近にあるから。	1235045410
移動・交通	1	町田で小田急線、橋本で京王線が利用できるから。##また、リニアも走るようになるから。	1235045410
買物・飲食	-1	相模原はショッピングモールが無いのでショッピングモールを建ててほしい	1235045410
事故・犯罪	-1	神奈川は青少年の犯罪が多いので何とかしてほしい	1235045410
買物・飲食	1	近くにいろいろな場所があり選択肢が多いので生活に便利。	1236009815
移動・交通	1	いろいろ交通手段がそろっているから移動が楽	1236009815
地域行政	-1	近隣自治体との行政サービスや手続き等での連携	1236009815
医療・福祉	-1	施設や周辺自治体との連携	1236009815
買物・飲食	1	すぐそこに生活に関わるお店があり、この状態はこの先も続きそうだから。	1233316834
移動・交通	1	バスを逃しても３分以内にはすぐに次のバスが来るのでストレスがない。電車も複数の路線があるので、一つがダメでも他を選べる。	1233316834
事故・犯罪	-1	夜になると人をだましそうな人がたくさん立っている。	1233316834
自然景観	-1	特に不満な項目がないので、消去法で選択しました。市街地なので自然は多くはないですが、少なくて困ることもないです。	1233316834
自然の恵み	1	帷子川が流れ、そこには、翡翠、セキレイ、白鷺などの鳥が、餌を求めてやってきます。また、市民の森があり、ここが本当に横浜という感じの自然があり、その自然を満喫しています。	1235701271
買物・飲食	1	買い物、飲食についてみ、横浜駅周辺、みなとみらいに行けば、何でも買えて食べることができます。	1235701271
移動・交通	-1	横浜でも、不便な場所はたくさんあり、これからバスの運転手不足により、さらにバス本数がなくなることが考えられますので、交通手段の対策をお願いしたいです。	1235701271
自然災害	-1	自然災害は、いつ来るか分からないので、それに対する対応をさらに強化して頂きたいと思います。	1235701271
自然景観	1	山に囲まれて春は桜もきれいで、四季を感じられる点です。	1233903776
自然の恵み	1	路地物の野菜を販売している場所が多く、安くておいしい野菜を購入できる点です。	1233903776
移動・交通	-1	駅までのバスの便が少なく、運賃が高い点を改善してほしいです。	1233903776
医療・福祉	-1	高齢者が多いので、近くに基幹病院があると良いと思います。	1233903776
自然災害	1	山崩れ・土砂崩れ、水害等の 災害を心配なくてよい。	1230069875
移動・交通	1	鉄道、バスが整備されており、自家用車も使用しやすい。	1230069875
地域行政	-1	高齢化、少子化に対する適切な対応	1230069875
デジタル生活	-1	デジタル社会への啓蒙と支援	1230069875
移動・交通	1	遠くに行きやすいところです。	1236648572
買物・飲食	1	スーパーがたくさんあり、満足できるところです。	1236648572
遊び・娯楽	-1	もう少し遊べるところがあればいいところです。	1236648572
事故・犯罪	-1	盗難とか減るといいです。	1236648572
住宅環境	1	田舎でごみごみしていない	1231422456
自然災害	1	たまに地震があるくらいで津波の心配はない	1231422456
移動・交通	-1	駅が遠く、路線バスも少ない	1231422456
公共空間	-1	公共施設は駅から遠く、利用しにくい	1231422456
移動・交通	1	交通の便利	1233386955
医療・福祉	1	福祉が充実	1233386955
自然災害	-1	津波対策	1233386955
自然の恵み	-1	南北で差が激しい	1233386955
住宅環境	1	特に不満なく暮らせているから	1229452217
移動・交通	1	特に不満のない交通手段があるから	1229452217
買物・飲食	-1	それなりに満足できる飲食が充実しているから	1229452217
遊び・娯楽	-1	なんとなく	1229452217
子育て	1	子供の医療費や就学援助	1237021595
買物・飲食	1	商業施設がまとまっている	1237021595
移動・交通	-1	休日の周辺道路の渋滞	1237021595
自然災害	-1	なかなか進まない河川工事	1237021595
買物・飲食	1	地域別の差はあれども昔から振り返ると、利用する施設の発展や建造がコンスタントに行われており、生活していくうえで不便を感じるような事は減ってきていると個人的には感じそれが満足という気持ちに繋がっている。	1236905658
自然景観	1	残すべき自然の維持と育み、新たに増やしていく取り組みなどが目立つほどではないが着実に見られている。事実、身近にあるものとして現在も周囲周辺に在ると感じているため。	1236905658
事故・犯罪	-1	年々悪化していると感じる治安の状態は、正直どういうアプローチから改善されるのか、改善を求めるべきなのか分からないというのが本音である。	1236905658
医療・福祉	-1	科別の専門の医院やクリニックの立地の偏りや少なさが地域地域で目立ってきている。商いである以上、病院経営も戦略的なものが求められるからとは言え、もう少し各所にあっていって欲しい。	1236905658
買物・飲食	1	駅にあるショッピングモールで買い物や飲食が完結できる	1235833675
移動・交通	1	駅に5つの路線が集まり交通の便が抜群	1235833675
遊び・娯楽	-1	映画館やゲームセンターやカラオケなどがあまり充実していない	1235833675
事故・犯罪	-1	幹線道路が多いせいか交通事故が多い気がする	1235833675
買物・飲食	1	徒歩圏内にスーパーがあり、コンビニも3件あって非常に便利。	1236845948
医療・福祉	1	徒歩圏内に様々な科の病院が入ったビルがある。	1236845948
事故・犯罪	-1	バイクを2度も盗まれた。	1236845948
買物・飲食	-1	買物は非常に便利だが、飲食店が少ない。	1236845948
移動・交通	1	都心に近い	1230152051
買物・飲食	1	新宿に近い	1230152051
買物・飲食	-1	地元駅に魅力的な商業施設が少ない	1230152051
買物・飲食	-1	地元駅に魅力的な飲食店が少ない	1230152051
移動・交通	1	自宅が駅から５分に位置しており、２つの鉄道会社の駅が使用できるため、都心に出るにも１時間以内で行け、便利な立地。	1232036434
買物・飲食	1	自宅から５分以内にスーパーうあ個人商店が立ち並んでいる。	1232036434
医療・福祉	-1	大きな総合病院から個人クリニックまで徒歩で通える。	1232036434
自然災害	-1	地震に強い地盤のため、安心して暮らせる。	1232036434
移動・交通	1	複数のJR駅に出やすい。	1236527676
自然景観	1	緑が多く、ハイキングコースや観光地が多い	1236527676
公共空間	-1	観光客によるオーバーツーリズム対策	1236527676
自然災害	-1	台風の影響で通行が難しくなったハイキングコースが残っている	1236527676
自然災害	1	安全に感じる	1233041819
移動・交通	1	なんとなく	1233041819
買物・飲食	-1	スーパーが近くにあればいい	1233041819
医療・福祉	-1	近くにあればいい	1233041819
買物・飲食	1	自宅近くに小売店や飲食店が多く行くのが楽しい	1231153646
遊び・娯楽	1	図書館が多くお金をかけずに楽しめる	1231153646
都市景観	-1	歩道の雑草が伸びっぱなしになっていて、歩きづらく見た目も悪い	1231153646
買物・飲食	-1	お得なキャンペーンを増やしてほしい　商店街に人が集まるイベントを増やしてほしい	1231153646
住宅環境	1	家賃が安いことです。	1236315253
移動・交通	1	路線が多いことです。	1236315253
遊び・娯楽	-1	路線を多くして欲しい。	1236315253
初等・中等教育	-1	学校が少なすぎる。	1236315253
移動・交通	1	鉄道網が発達している	1236690958
遊び・娯楽	1	東京が近い	1236690958
事故・犯罪	-1	外国人が多い	1236690958
自然の恵み	-1	都市化しすぎ	1236690958
移動・交通	1	小田急線が便利だから	1234385052
自然景観	1	大山があるから	1234385052
遊び・娯楽	-1	娯楽施設が少ない	1234385052
地域行政	-1	市会議員が頼りない	1234385052
移動・交通	1	電車やバスの便が充実していて、駅やバス停も近くにある。	1235793828
医療・福祉	1	病院や診療所が徒歩圏にたくさんあること。	1235793828
買物・飲食	-1	駅周りのお店の種類が偏っているので、色々な店舗があればいいと思う。	1235793828
遊び・娯楽	-1	あまり娯楽スポットがないので、もう少し色々とあればいいと思う。	1235793828
住宅環境	1	緑や公園が多く、子育てしやすい地域だから	1232873292
遊び・娯楽	1	周囲に商業施設などが多く便利だから	1232873292
公共空間	-1	もっと公共の場所を活用して仕事などに使えるようにしてほしい	1232873292
事故・犯罪	-1	外国人の方が増えって少し治安が悪くなったきがする	1232873292
移動・交通	1	南区はJR及び小田急町田駅に近くまた、東名高速横浜町田IC,圏央道相模原愛原ICも近く交通の便が良い	1230595401
医療・福祉	1	北里大学病院をはじめ高度な医療機関や中規模医療機関、町医者も多くあり困らない	1230595401
地域行政	-1	地域住民への還元がない	1230595401
デジタル生活	-1	デジタル化が遅れている	1230595401
住宅環境	1	駅がないので、家賃が安い。	1233608114
自然災害	1	比較的高台にあるので、水害の心配がない。	1233608114
移動・交通	-1	道が狭いため交通渋滞がひどいので、拡幅工事をして欲しい。	1233608114
事故・犯罪	-1	犯罪率が高いので、警察署を独立で設置して欲しい。	1233608114
医療・福祉	1	各種医療機関が近くにある。	1229032358
買物・飲食	1	生活圏内に多くのスーパーマーケットがあり、価格も安い	1229032358
遊び・娯楽	-1	公園以外の遊び場が少ない	1229032358
買物・飲食	-1	スーパーマーケットは、多いがコンビニが非常に少ない	1229032358
自然の恵み	1	緑が多く温暖で季節的な気象災害も少ない点	1234371607
移動・交通	1	新宿にも横浜にも電車一本で乗り換え無しで行ける点	1234371607
移動・交通	-1	中央リニア新幹線の一日も早く開業して欲しい	1234371607
公共空間	-1	橋本駅南側の開発計画を早く具体化して欲しい	1234371607
移動・交通	1	公共交通機関が発達していて移動に便利だから。	1236710578
買物・飲食	1	さまざまな飲食店が近くにあって便利だから。	1236710578
地域行政	-1	より市民のことを考えた政治や行政を期待しているから。	1236710578
自然景観	-1	自然あふれる環境がもう少し増えてほしいと思うから。	1236710578
遊び・娯楽	1	近くに子供が遊べる公園があり、満足している。	1233580936
医療・福祉	1	病院が多く、医療施設が充実している。	1233580936
事故・犯罪	-1	軽犯罪が多いような気がする。	1233580936
初等・中等教育	-1	国際化に伴い、インターナショナルスクールを増やして欲しい。	1233580936
移動・交通	1	鉄道を始め、公共交通機関が整備されている	1234998054
環境共生	1	少し歩けば、川のせせらぎがあり樹木や公園も数多い。	1234998054
自然災害	-1	埼玉県と比べ、地域防災力と伝達力が劣っていて、大規模地震などが起こった際、人口も多いし対応が出来ないと思う。	1234998054
自然災害	-1	かり	1234998054
住宅環境	1	閑静な住宅街がおおい	1234523578
移動・交通	1	複数の路線が使える	1234523578
子育て	-1	比較的子育て支援の施策が手薄。学校給食が貧弱。	1234523578
医療・福祉	-1	核になる医療機関が少ない	1234523578
住宅環境	1	幹線道路から離れているので静か	1230417578
医療・福祉	1	介護関係の施設が多い	1230417578
移動・交通	-1	バス路線が少ない	1230417578
自然災害	-1	近くに崖や川があり心配	1230417578
買物・飲食	1	生活に必要な買い物が歩きor自転車の圏内で概ね済むため。	1236315724
医療・福祉	1	日頃使うクリニックが近所にあって、そこから大きな病院が必要になっても複数建ってるので困る事が無い。	1236315724
移動・交通	-1	川崎市の中央部分に鉄道を通す計画が複数あったがいずれも中止にされてしまい不便なまま放置されている事が不満です。計画を再開してほしい。できないなら自動運転インフラ導入を積極的に取り入れる政策を行ってほしい。##市バスの本数がとても少なく交通手段としてアテにするのは難しいので本数を増やしてほしい。	1236315724
遊び・娯楽	-1	映画館が川崎に集中してるので溝の口のあたりにも誘致してほしい。	1236315724
自然災害	1	地理的にあらゆる災害に強いので	1234339266
医療・福祉	1	大きな病院が程よい距離にいくつかあるので	1234339266
事故・犯罪	-1	警察の腐敗を正して欲しい	1234339266
遊び・娯楽	-1	スポットとなるようなエリアが基本無いので	1234339266
自然災害	1	今のところ水害も地震も被害を受けていない	1231394186
医療・福祉	1	今のところ病院に行けなくなることはない	1231394186
移動・交通	-1	横浜市営地下鉄延伸早期実現	1231394186
買物・飲食	-1	肉屋も魚屋もない	1231394186
買物・飲食	1	便利	1233001383
移動・交通	1	便利	1233001383
地域行政	-1	税金の無駄遣い	1233001383
移動・交通	-1	利便	1233001383
自然景観	1	前に海、後が山で自然に恵まれ神社仏閣が多数ある	1233246317
事故・犯罪	1	治安が良くあまり大きな犯罪は起きない	1233246317
医療・福祉	-1	行政の規模が政令都市に比べ小さい為行届いていない	1233246317
買物・飲食	-1	物価が高い。品数が少ない	1233246317
自然景観	1	川の近くにいると、都市部では見られない生き物を見ることが出来るため	1233473110
移動・交通	1	都内、横浜駅などの大きな駅への交通が便利なため	1233473110
自然災害	-1	避難所など、災害時に利用できない人が絶対数で出てくる点に関しての取り組み	1233473110
事故・犯罪	-1	幹線道路などスピードを出す車が多く、怖い点	1233473110
移動・交通	1	車がなくても不便ではない	1236180986
買物・飲食	1	商業施設が多いから	1236180986
地域行政	-1	市が大きすぎて手が回っていない。住民に何でもやらせようとする姿勢が明らかであるところ。	1236180986
自然災害	-1	人口が多すぎて対策が不十分だと感じる。実際に災害にあったらあっという間にキャパオーバーになりそう	1236180986
事故・犯罪	1	少ない	1225892686
買物・飲食	1	コンビになどが多い	1225892686
地域行政	-1	借金が多すぎてサービスが悪化の一途	1225892686
医療・福祉	-1	まともな病院が無い	1225892686
買物・飲食	1	飲食店は接待が良いところが多く、エチエンヌやリリエンベルグなどもある。	1236894835
事故・犯罪	1	犯罪件数がすごくすくない	1236894835
遊び・娯楽	-1	娯楽施設（高校生用）はぜんぜんない。	1236894835
自然の恵み	-1	花などが道にない。みどりがない	1236894835
医療・福祉	1	自分の母は高齢なので需実したサービスが多いと思います	1234350433
住宅環境	1	公園などが多く散歩コースに困らない	1234350433
自然災害	-1	富士山の噴火が一番気になる、あとすぐ停電になる	1234350433
移動・交通	-1	バス停が少ない	1234350433
移動・交通	1	住んでいる地域から駅まで近い。JR、地下鉄、バスも充実している。横浜新道、国道一号線など車移動も便利。	1233038123
自然景観	1	住宅も多いが、少しいくと自然も豊かで良い。	1233038123
地域行政	-1	子育て支援。東京に比べて遅れている。	1233038123
医療・福祉	-1	病院は多いが、評判の良い病院はあまりきかない。	1233038123
自然景観	1	市内や市内から見える場所に海や山があること。特に山は、季節の移り変わりを感じられてとても良い。	1237040488
移動・交通	1	小田急線、JR線湘南新宿ラインのどちらにもアクセスしやすい点。	1237040488
地域行政	-1	諸申請のデジタル化が不十分。庁舎へ赴かずとも自宅で手続きが完結するようなシステムを構築してほしい。	1237040488
医療・福祉	-1	特定の検診や予防接種を受けられる病院が少ないと感じる。	1237040488
買物・飲食	1	近隣に複数のスーパーや様々な飲食があり、遠出する事なく済ませられる	1231983004
自然災害	1	津波をの心配は必要ないようだ	1231983004
事故・犯罪	-1	警察の働きはあまり関心出来ない。事故や犯罪は他地域より多く感じる。	1231983004
子育て	-1	子育て世帯が多くはない	1231983004
移動・交通	1	近くに駅や長後街道などがありとても便利	1236725442
