設問1	設問2	設問3	設問4	設問5	設問6	設問7	設問8	設問9	会員ID
横浜市	移動・交通	バス	地域行政	すべて	地域行政	道路	移動・交通	なし	1235813508
相模原市	買物・飲食	店が多くあるので買い物や外食には困らない	自然景観	川や山もあって自然を近くに感じる	移動・交通	都心に比べると電車が少ない	事故・犯罪	犯罪は起こってほしくない	1230737882
厚木市	自然景観	足腰を鍛えるために山へいくのですが、低い山から高い山、整備されてて、最高です##	買物・飲食	直ぐ側にドラッグストアや、スーパー、コンビ二があり便利	地域行政	水道みちが小学生の通学道にもなっていてその先工業団地があり車の量が多いので道をどちらか一方通行とかにしてほしい	初等・中等教育	無料可にしたらいいと思います	1237012413
川崎市	事故・犯罪	自分の住んでいる地域は治安がいい	移動・交通	京王線と南武線、小田急線を使える	買物・飲食	近所にイオン等がない	医療・福祉	医療の質	1236631012
横浜市	デジタル生活	全部当てはまらない##仕方なく	自然景観	全部当てはまらない##仕方なく	移動・交通	渋滞	地域行政	税金	1234303618
川崎市	移動・交通	東京にも横浜にも出やすい	自然の恵み	多摩川癒し	遊び・娯楽	映画館欲しい。カフェ難民	公共空間	マンションばっか	1233504497
川崎市	自然景観	生田緑地など大きくて広い公園がある	移動・交通	都心に向かう時に便利だなと思う	自然災害	あまり心配はしていないが、時々起きる災害はよう注意しています	住宅環境	公園などで、たばこが無制限に吸われている	1232117131
横浜市	環境共生	特に無し	事故・犯罪		初等・中等教育		自然景観		1227985651
横浜市	移動・交通	電車の乗り換えで使える横浜駅や新横浜駅にアクセスしやすい	遊び・娯楽	大体歩いてでも遊べる場所にいけるくらい多い	事故・犯罪	昔から頻繁に事故等が多いイメージ	住宅環境	家や土地、もしくは家賃が高い	1234876727
横浜市	住宅環境	遊ぶところもたくさんあって何をするにも便利	買物・飲食	近くにスーパー、コンビニ、専門店などたくさんある	医療・福祉	クリニックはたくさんあるが、あまり良いクリニックがないように思う	事故・犯罪	中国人が多く、彼らの一部はルールを守らない	1233121422
厚木市	自然景観	少し歩けば川も田んぼもあり、中々見れない野鳥もいてその鳥を見れた時は何故か幸せな気持ちになれます、	買物・飲食	家の裏にスーパーとかドラッグストアもあり便利です。	住宅環境	家の前が道路で朝晩車が多く子供も通学します、せめて時間帯で一方通行にしてもらいたい。	買物・飲食	裏にスーパーがあるけどもう1つ位別のスーパーがあればいい	1236840886
松田町	自然景観	川が近く、川越しに富士山が見える。山も見えるし晴れた日には相模湾の大島も見える。	自然災害	台風、降雪等の自然災害が少ない	買物・飲食	ちょっとしたときに楽しめる、飲食店が少ない	遊び・娯楽	ちょっとした時間つぶしの買い物ができる店がない	1234348181
愛川町	住宅環境	自然が多いから	都市景観	家が多くないから	買物・飲食	近くにお店が少なく不便	医療・福祉	医療機関が少ないから	1233594514
相模原市	買物・飲食	近隣に店	自然景観	街中に自然が残る	住宅環境	家賃が安くない	移動・交通	特に無し	1236160171
相模原市	公共空間	戸外、室内の公共空間が良く整備されていて利用しやすいため。	地域行政	設問に1番目、2番目という条件を付けるのであれば、最初に断っていただきたかったです。####公共空間とも関連しますが、利用しやすいためです。	地域行政	いろいろな手続等をより分かりやすく進めていただきたい。	環境共生	ここでも2番目という条件を示されましたが、1番目、2番目があることを予め質問文に提示してほしいものです。##当市は緑が多いですが、少々多すぎる感もあり、順次減らしていく視点も必要かと思います。	1229585722
横浜市	移動・交通	東京各所に便利	自然景観	大倉山公園の自然	医療・福祉	インフルエンザワクチンも高齢者有料	買物・飲食	高齢者に優しくなく住宅地でも飲食店がなくなって来ている	1235840234
座間市	住宅環境	静か	移動・交通	便利	買物・飲食	飲食店	遊び・娯楽	店舗	1231327446
相模原市	住宅環境	閑静である	事故・犯罪	犯罪が周りで起きていない	移動・交通	自動車を手放した場合の交通手段が心配	自然災害	川が近いので	1229341931
大和市	自然景観	桜並木	住宅環境	大通から少し入っていて閑静	地域行政	何もして貰っている感が無い	医療・福祉	地域の行政が動いている感じが全くしない	1232200607
横浜市	医療・福祉	障害者へのサービスが手厚いから	移動・交通	横浜市内の交通網が充実しており、外出に困ることがないから。	地域行政	公共サービスの改善がもっと早く行われるようになってほしいから。	事故・犯罪	地域によって偏りはあるが、ニュースなどで報道される犯罪が多いから。	1231985355
横浜市	買物・飲食	スーパーやコンビニなどが多い	移動・交通	駅やバス停などが多い	医療・福祉	大きな病院が無い	自然景観	自然が少ない	1236903679
横浜市	住宅環境	昔ながらの田園地帯と住宅街が共存している点	移動・交通	鉄道と幹線道路で東京方面と横浜方面両方の繁華街にアクセス出来る点	公共空間	信号のない横断歩道や大きめの交差点が多いが、横断歩道自体や停止線などの表示が不明瞭のまま何年も放置されている点	買物・飲食	徒歩圏内での商業施設が少ない点	1232954744
横浜市	買物・飲食	ほぼ満足しています。	医療・福祉	ほぼ満足しています。	住宅環境	引っ越したいです。	事故・犯罪	投げ捨てのごみが多いです。	1235313111
大井町	自然景観	緑が豊か	買物・飲食	スーパーがある	移動・交通	電車の本数を増やして欲しい	事故・犯罪	事故を減らして欲しい	1236645272
横浜市	住宅環境	比較的交通網が発達していて移動しやすい	買物・飲食	買い物する場所が多くて困らない	事故・犯罪	都会ゆえに犯罪がやや多い	自然景観	自然がやや少ないと思われる	1236698819
横浜市	住宅環境	安心安全##	自然の恵み	近くに里山や畑がある。	移動・交通	バス便の充実	事故・犯罪	道路の補修	1228646132
小田原市	事故・犯罪	安全性を脅かすことはほとんどない	買物・飲食	適度の距離にスーパー、ショッピングセンターがある	医療・福祉	信頼できる病院	地域行政	税金の無駄遣いの防止	1232218658
茅ヶ崎市	環境共生	都会(新宿·横浜等)へも観光地(江ノ島·鎌倉·富士箱根等)へも比較的短時間で行ける立地。	事故・犯罪	事件など殆ど起きないので。	買物・飲食	近くに大型スーパーが少ないので、茅ヶ崎市にできたら嬉しいです。	遊び・娯楽	引っ越してきた人が多く近所付き合いが殆どない。隣人と一緒に何か娯楽をすることなどまったくない。	1230490943
伊勢原市	医療・福祉	大きな病院がある	自然の恵み	大山があり自然が多い	移動・交通	車がないと移動しづらい	事故・犯罪	犯罪がおおくなってきたから	1229737956
秦野市	自然の恵み	水が美味しい	移動・交通	小田急線が急行でもとまるので便利	医療・福祉	かかりつけの病院がなくなった	買物・飲食	店が減っている	1233811511
相模原市	買物・飲食	自宅から車で10分圏内にお店がある	住宅環境	自宅からの景観を気に入ってる	事故・犯罪	自宅前の道路に暴走族がよく走っていて煩い	公共空間	歩き煙草とか犬のフン等の迷惑行為	1236998709
横浜市	自然災害	津波の心配があまりない	買物・飲食	特に困っていない	子育て	もっと子育てしやすい環境になればいい	医療・福祉	家の近くに耳鼻科がないので不便	1236297826
大和市	自然災害	あまり被災した記憶がない	自然景観	そこそこ自然公園などがあるので	買物・飲食	昔からある商店などが減って代替サービスが見つからなかったりする事	自然景観	昔からあった緑が減るのは少しさびしい	1227950414
川崎市	移動・交通	東京、神奈川県内等、行きやすく便利	医療・福祉	病院が多くあり、また近いため安心している	デジタル生活	フリーWi-Fiが利用できる箇所が少ない	自然景観	公園や動物園など遊べる箇所が少ない	1234509651
葉山町	住宅環境	どこを見ても緑がある。山に囲まれていて海もあります。田舎ですが、スーパーもあるし生活に不便はありません。	医療・福祉	総合病院はありませんが専門的な個人病院が多く、不便はありません。	移動・交通	路線バスが通っているので基本的に移動に問題はないのですが、本数が少ないのでコミニュティバスなどを運行してほしいです。	遊び・娯楽	田舎なので娯楽施設がありません。多くは望まないので、映画館などがあると嬉しいです。	1226910085
横浜市	買物・飲食	近くに店が多くある。	住宅環境	自分の住んでいるところや周辺多とても静かな住環境	事故・犯罪	とくに最近凶悪犯罪が多いので。	自然災害	いろいろな災害が多い、都市災害とか。	1230288734
相模原市	移動・交通	横浜線淵野辺駅利用していますが、橋本、町田で私鉄利用できるので以外と便利です	自然景観	以外と身近に自然環境整っている##	都市景観	道路環境があまりに酷い、日常的に交通渋滞起こる改善してほしい##	事故・犯罪	治安の改善を徹底してほしいです##	1234217841
川崎市	移動・交通	とにかくどこに行くにも便利	買物・飲食	店がたくさんある	事故・犯罪	治安が良くない	地域行政	駅前のが騷しい	1235264803
相模原市	医療・福祉	駅からは遠いが北里病院がある。##また、相模原、矢部には総合病院が駅近にあるから。	移動・交通	町田で小田急線、橋本で京王線が利用できるから。##また、リニアも走るようになるから。	買物・飲食	相模原はショッピングモールが無いのでショッピングモールを建ててほしい	事故・犯罪	神奈川は青少年の犯罪が多いので何とかしてほしい	1235045410
相模原市	買物・飲食	近くにいろいろな場所があり選択肢が多いので生活に便利。	移動・交通	いろいろ交通手段がそろっているから移動が楽	地域行政	近隣自治体との行政サービスや手続き等での連携	医療・福祉	施設や周辺自治体との連携	1236009815
川崎市	買物・飲食	すぐそこに生活に関わるお店があり、この状態はこの先も続きそうだから。	移動・交通	バスを逃しても３分以内にはすぐに次のバスが来るのでストレスがない。電車も複数の路線があるので、一つがダメでも他を選べる。	事故・犯罪	夜になると人をだましそうな人がたくさん立っている。	自然景観	特に不満な項目がないので、消去法で選択しました。市街地なので自然は多くはないですが、少なくて困ることもないです。	1233316834
横浜市	自然の恵み	帷子川が流れ、そこには、翡翠、セキレイ、白鷺などの鳥が、餌を求めてやってきます。また、市民の森があり、ここが本当に横浜という感じの自然があり、その自然を満喫しています。	買物・飲食	買い物、飲食についてみ、横浜駅周辺、みなとみらいに行けば、何でも買えて食べることができます。	移動・交通	横浜でも、不便な場所はたくさんあり、これからバスの運転手不足により、さらにバス本数がなくなることが考えられますので、交通手段の対策をお願いしたいです。	自然災害	自然災害は、いつ来るか分からないので、それに対する対応をさらに強化して頂きたいと思います。	1235701271
厚木市	自然景観	山に囲まれて春は桜もきれいで、四季を感じられる点です。	自然の恵み	路地物の野菜を販売している場所が多く、安くておいしい野菜を購入できる点です。	移動・交通	駅までのバスの便が少なく、運賃が高い点を改善してほしいです。	医療・福祉	高齢者が多いので、近くに基幹病院があると良いと思います。	1233903776
横浜市	自然災害	山崩れ・土砂崩れ、水害等の 災害を心配なくてよい。	移動・交通	鉄道、バスが整備されており、自家用車も使用しやすい。	地域行政	高齢化、少子化に対する適切な対応	デジタル生活	デジタル社会への啓蒙と支援	1230069875
大和市	移動・交通	遠くに行きやすいところです。	買物・飲食	スーパーがたくさんあり、満足できるところです。	遊び・娯楽	もう少し遊べるところがあればいいところです。	事故・犯罪	盗難とか減るといいです。	1236648572
伊勢原市	住宅環境	田舎でごみごみしていない	自然災害	たまに地震があるくらいで津波の心配はない	移動・交通	駅が遠く、路線バスも少ない	公共空間	公共施設は駅から遠く、利用しにくい	1231422456
藤沢市	移動・交通	交通の便利	医療・福祉	福祉が充実	自然災害	津波対策	自然の恵み	南北で差が激しい	1233386955
横浜市	住宅環境	特に不満なく暮らせているから	移動・交通	特に不満のない交通手段があるから	買物・飲食	それなりに満足できる飲食が充実しているから	遊び・娯楽	なんとなく	1229452217
小田原市	子育て	子供の医療費や就学援助	買物・飲食	商業施設がまとまっている	移動・交通	休日の周辺道路の渋滞	自然災害	なかなか進まない河川工事	1237021595
相模原市	買物・飲食	地域別の差はあれども昔から振り返ると、利用する施設の発展や建造がコンスタントに行われており、生活していくうえで不便を感じるような事は減ってきていると個人的には感じそれが満足という気持ちに繋がっている。	自然景観	残すべき自然の維持と育み、新たに増やしていく取り組みなどが目立つほどではないが着実に見られている。事実、身近にあるものとして現在も周囲周辺に在ると感じているため。	事故・犯罪	年々悪化していると感じる治安の状態は、正直どういうアプローチから改善されるのか、改善を求めるべきなのか分からないというのが本音である。	医療・福祉	科別の専門の医院やクリニックの立地の偏りや少なさが地域地域で目立ってきている。商いである以上、病院経営も戦略的なものが求められるからとは言え、もう少し各所にあっていって欲しい。	1236905658
横浜市	買物・飲食	駅にあるショッピングモールで買い物や飲食が完結できる	移動・交通	駅に5つの路線が集まり交通の便が抜群	遊び・娯楽	映画館やゲームセンターやカラオケなどがあまり充実していない	事故・犯罪	幹線道路が多いせいか交通事故が多い気がする	1235833675
横浜市	買物・飲食	徒歩圏内にスーパーがあり、コンビニも3件あって非常に便利。	医療・福祉	徒歩圏内に様々な科の病院が入ったビルがある。	事故・犯罪	バイクを2度も盗まれた。	買物・飲食	買物は非常に便利だが、飲食店が少ない。	1236845948
川崎市	移動・交通	都心に近い	買物・飲食	新宿に近い	買物・飲食	地元駅に魅力的な商業施設が少ない	買物・飲食	地元駅に魅力的な飲食店が少ない	1230152051
川崎市	移動・交通	自宅が駅から５分に位置しており、２つの鉄道会社の駅が使用できるため、都心に出るにも１時間以内で行け、便利な立地。	買物・飲食	自宅から５分以内にスーパーうあ個人商店が立ち並んでいる。	医療・福祉	大きな総合病院から個人クリニックまで徒歩で通える。	自然災害	地震に強い地盤のため、安心して暮らせる。	1232036434
鎌倉市	移動・交通	複数のJR駅に出やすい。	自然景観	緑が多く、ハイキングコースや観光地が多い	公共空間	観光客によるオーバーツーリズム対策	自然災害	台風の影響で通行が難しくなったハイキングコースが残っている	1236527676
厚木市	自然災害	安全に感じる	移動・交通	なんとなく	買物・飲食	スーパーが近くにあればいい	医療・福祉	近くにあればいい	1233041819
大和市	買物・飲食	自宅近くに小売店や飲食店が多く行くのが楽しい	遊び・娯楽	図書館が多くお金をかけずに楽しめる	都市景観	歩道の雑草が伸びっぱなしになっていて、歩きづらく見た目も悪い	買物・飲食	お得なキャンペーンを増やしてほしい　商店街に人が集まるイベントを増やしてほしい	1231153646
横浜市	住宅環境	家賃が安いことです。	移動・交通	路線が多いことです。	遊び・娯楽	路線を多くして欲しい。	初等・中等教育	学校が少なすぎる。	1236315253
横浜市	移動・交通	鉄道網が発達している	遊び・娯楽	東京が近い	事故・犯罪	外国人が多い	自然の恵み	都市化しすぎ	1236690958
秦野市	移動・交通	小田急線が便利だから	自然景観	大山があるから	遊び・娯楽	娯楽施設が少ない	地域行政	市会議員が頼りない	1234385052
横浜市	移動・交通	電車やバスの便が充実していて、駅やバス停も近くにある。	医療・福祉	病院や診療所が徒歩圏にたくさんあること。	買物・飲食	駅周りのお店の種類が偏っているので、色々な店舗があればいいと思う。	遊び・娯楽	あまり娯楽スポットがないので、もう少し色々とあればいいと思う。	1235793828
座間市	住宅環境	緑や公園が多く、子育てしやすい地域だから	遊び・娯楽	周囲に商業施設などが多く便利だから	公共空間	もっと公共の場所を活用して仕事などに使えるようにしてほしい	事故・犯罪	外国人の方が増えって少し治安が悪くなったきがする	1232873292
相模原市	移動・交通	南区はJR及び小田急町田駅に近くまた、東名高速横浜町田IC,圏央道相模原愛原ICも近く交通の便が良い	医療・福祉	北里大学病院をはじめ高度な医療機関や中規模医療機関、町医者も多くあり困らない	地域行政	地域住民への還元がない	デジタル生活	デジタル化が遅れている	1230595401
綾瀬市	住宅環境	駅がないので、家賃が安い。	自然災害	比較的高台にあるので、水害の心配がない。	移動・交通	道が狭いため交通渋滞がひどいので、拡幅工事をして欲しい。	事故・犯罪	犯罪率が高いので、警察署を独立で設置して欲しい。	1233608114
横浜市	医療・福祉	各種医療機関が近くにある。	買物・飲食	生活圏内に多くのスーパーマーケットがあり、価格も安い	遊び・娯楽	公園以外の遊び場が少ない	買物・飲食	スーパーマーケットは、多いがコンビニが非常に少ない	1229032358
相模原市	自然の恵み	緑が多く温暖で季節的な気象災害も少ない点	移動・交通	新宿にも横浜にも電車一本で乗り換え無しで行ける点	移動・交通	中央リニア新幹線の一日も早く開業して欲しい	公共空間	橋本駅南側の開発計画を早く具体化して欲しい	1234371607
横浜市	移動・交通	公共交通機関が発達していて移動に便利だから。	買物・飲食	さまざまな飲食店が近くにあって便利だから。	地域行政	より市民のことを考えた政治や行政を期待しているから。	自然景観	自然あふれる環境がもう少し増えてほしいと思うから。	1236710578
川崎市	遊び・娯楽	近くに子供が遊べる公園があり、満足している。	医療・福祉	病院が多く、医療施設が充実している。	事故・犯罪	軽犯罪が多いような気がする。	初等・中等教育	国際化に伴い、インターナショナルスクールを増やして欲しい。	1233580936
横浜市	移動・交通	鉄道を始め、公共交通機関が整備されている	環境共生	少し歩けば、川のせせらぎがあり樹木や公園も数多い。	自然災害	埼玉県と比べ、地域防災力と伝達力が劣っていて、大規模地震などが起こった際、人口も多いし対応が出来ないと思う。	自然災害	かり	1234998054
相模原市	住宅環境	閑静な住宅街がおおい	移動・交通	複数の路線が使える	子育て	比較的子育て支援の施策が手薄。学校給食が貧弱。	医療・福祉	核になる医療機関が少ない	1234523578
相模原市	住宅環境	幹線道路から離れているので静か	医療・福祉	介護関係の施設が多い	移動・交通	バス路線が少ない	自然災害	近くに崖や川があり心配	1230417578
川崎市	買物・飲食	生活に必要な買い物が歩きor自転車の圏内で概ね済むため。	医療・福祉	日頃使うクリニックが近所にあって、そこから大きな病院が必要になっても複数建ってるので困る事が無い。	移動・交通	川崎市の中央部分に鉄道を通す計画が複数あったがいずれも中止にされてしまい不便なまま放置されている事が不満です。計画を再開してほしい。できないなら自動運転インフラ導入を積極的に取り入れる政策を行ってほしい。##市バスの本数がとても少なく交通手段としてアテにするのは難しいので本数を増やしてほしい。	遊び・娯楽	映画館が川崎に集中してるので溝の口のあたりにも誘致してほしい。	1236315724
相模原市	自然災害	地理的にあらゆる災害に強いので	医療・福祉	大きな病院が程よい距離にいくつかあるので	事故・犯罪	警察の腐敗を正して欲しい	遊び・娯楽	スポットとなるようなエリアが基本無いので	1234339266
川崎市	自然災害	今のところ水害も地震も被害を受けていない	医療・福祉	今のところ病院に行けなくなることはない	移動・交通	横浜市営地下鉄延伸早期実現	買物・飲食	肉屋も魚屋もない	1231394186
川崎市	買物・飲食	便利	移動・交通	便利	地域行政	税金の無駄遣い	移動・交通	利便	1233001383
鎌倉市	自然景観	前に海、後が山で自然に恵まれ神社仏閣が多数ある	事故・犯罪	治安が良くあまり大きな犯罪は起きない	医療・福祉	行政の規模が政令都市に比べ小さい為行届いていない	買物・飲食	物価が高い。品数が少ない	1233246317
横浜市	自然景観	川の近くにいると、都市部では見られない生き物を見ることが出来るため	移動・交通	都内、横浜駅などの大きな駅への交通が便利なため	自然災害	避難所など、災害時に利用できない人が絶対数で出てくる点に関しての取り組み	事故・犯罪	幹線道路などスピードを出す車が多く、怖い点	1233473110
横浜市	移動・交通	車がなくても不便ではない	買物・飲食	商業施設が多いから	地域行政	市が大きすぎて手が回っていない。住民に何でもやらせようとする姿勢が明らかであるところ。	自然災害	人口が多すぎて対策が不十分だと感じる。実際に災害にあったらあっという間にキャパオーバーになりそう	1236180986
茅ヶ崎市	事故・犯罪	少ない	買物・飲食	コンビになどが多い	地域行政	借金が多すぎてサービスが悪化の一途	医療・福祉	まともな病院が無い	1225892686
川崎市	買物・飲食	飲食店は接待が良いところが多く、エチエンヌやリリエンベルグなどもある。	事故・犯罪	犯罪件数がすごくすくない	遊び・娯楽	娯楽施設（高校生用）はぜんぜんない。	自然の恵み	花などが道にない。みどりがない	1236894835
秦野市	医療・福祉	自分の母は高齢なので需実したサービスが多いと思います	住宅環境	公園などが多く散歩コースに困らない	自然災害	富士山の噴火が一番気になる、あとすぐ停電になる	移動・交通	バス停が少ない	1234350433
横浜市	移動・交通	住んでいる地域から駅まで近い。JR、地下鉄、バスも充実している。横浜新道、国道一号線など車移動も便利。	自然景観	住宅も多いが、少しいくと自然も豊かで良い。	地域行政	子育て支援。東京に比べて遅れている。	医療・福祉	病院は多いが、評判の良い病院はあまりきかない。	1233038123
平塚市	自然景観	市内や市内から見える場所に海や山があること。特に山は、季節の移り変わりを感じられてとても良い。	移動・交通	小田急線、JR線湘南新宿ラインのどちらにもアクセスしやすい点。	地域行政	諸申請のデジタル化が不十分。庁舎へ赴かずとも自宅で手続きが完結するようなシステムを構築してほしい。	医療・福祉	特定の検診や予防接種を受けられる病院が少ないと感じる。	1237040488
横浜市	買物・飲食	近隣に複数のスーパーや様々な飲食があり、遠出する事なく済ませられる	自然災害	津波をの心配は必要ないようだ	事故・犯罪	警察の働きはあまり関心出来ない。事故や犯罪は他地域より多く感じる。	子育て	子育て世帯が多くはない	1231983004
横浜市	移動・交通	近くに駅や長後街道などがありとても便利	買物・飲食	近くにスーパーが新しく出来たりしたのですぐに買い物に行ける。	医療・福祉	近くに大きな病院がなく大きな病院があるのが少し遠いから	遊び・娯楽	近くに公園が少なくもう少し公園などが多いと良いなと思います	1236725442
平塚市	自然の恵み	山、海のほか、公園などもある	事故・犯罪	周辺で大きな犯罪は起きていない	移動・交通	近くに鉄道の駅がない	買物・飲食	近くにスーパーが少ない	1227452706
横浜市	都市景観	新しい物と古い物、現代の物と昔の物がうまく調和していて魅力的な都市になっている。	自然の恵み	都市部と郊外と自然がほどよくあり、調和していて過ごしやすい土地を形成している。	自然の恵み	大都市がある反面、海もあり、山もあり、自然に恵まれている。	子育て	昔の良いものと国際都市うまく融和していて、教育には良い環境になっている。	1227356168
川崎市	住宅環境	３	住宅環境		住宅環境		住宅環境		1225689184
川崎市	住宅環境	集合住宅の賃貸の家賃が都内と比べると安い	移動・交通	都内への通勤が許容範囲だから	買物・飲食	スーパーが少ないかなと思う	買物・飲食	飲食店も少ないかなと思う	1233482526
横浜市	買物・飲食	大きめの商業施設が各所にあって選択肢が多いところ	移動・交通	車がなくても困らないところ。東京まで近いこと。空港や新幹線も使いやすい	地域行政	横浜で生まれ育った後、何度か地方へ引っ越してまた帰ってきました。他のところより住民サービスの質がものすごく低い。住民にお金をかけない姿勢がすごい。	自然災害	災害時人口が多すぎて対応できないのではないか。シミュレーションをしっかりしてほしい	1235472501
横浜市	移動・交通	横浜駅やみなとみらいに行くための交通機関が充実している。	自然景観	近くにこども自然公園があります。	買物・飲食	スーパーが1つあるだけで、商品価格が高いこと。	地域行政	徒歩圏内に図書館が欲しい。	1233779843
横浜市	都市景観	他府県の人からうらやましがられる	移動・交通	交通が便利で車がなくても移動が楽	自然災害	都市部でありながら土ス砂くずれするなど災害によわい	医療・福祉	優良な病院が少ない上に混みすぎ	1230928903
横浜市	住宅環境	大都市である東京にも近く、一方で自然も多く、バランスのいいエリアだと思っているので。	買物・飲食	チェーン展開しているお店がたくさんあり、かつ商店街の個人商店も頑張っていて、住民にとっては選択肢が色々あることが満足。	子育て	隣の東京都に比べて、子育て世代への経済的恩恵がお粗末すぎる。私立中学無償化も所得制限ありで、納税を多くしている層への配慮が全くない。大都市であるという矜持を持ってほしい。	医療・福祉	子供の所得制限なしの医療費無償化を１８歳まで拡大してほしい。	1236131468
鎌倉市	医療・福祉	精神障害者なのですが医療費が無料なのは本当にありがたいです	事故・犯罪	物騒な話は一切聞かないので治安はかなり良い方だと思います	買物・飲食	スーパーは駅周辺にしかないのでとても不便です##元々全体的に高いのですが値上げしてからは気軽に買うことができず車で隣の逗子まで買いに行っています	移動・交通	近所のバス停は朝と夕方以降以外は1時間に2本しかないのでとても不便です##せめて3本にして頂きたいです	1234539975
平塚市	買物・飲食	価格の安いスーパーがある	住宅環境	一戸建てなので騒音とかがあまりきにならない	移動・交通	最終バスの時間が早いので深夜バスを出してもらいたい	遊び・娯楽	もっと娯楽施設を増やしてほしい	1235962111
川崎市	移動・交通	交通の便が良い	環境共生	都市部でありながら、自然豊かな街で落ち着いている	買物・飲食	商業施設の多さが発展途上	子育て	保育園がなかなか入れないと聞いた	1235411271
小田原市	自然景観	海が近く、歩いていけるので気軽に行ける。##また山もあって富士山もよく見えるので景観がいいと感じる。	買物・飲食	都市部に比べたら、お店は少ないものの、中心部には大型店舗もたくさんあり、コンビニやスーパーも各所に点在しているので、便利。	移動・交通	車の渋滞を改善してほしいと思う。##特に街中、土日などは渋滞がすごく移動にかなりの時間がかかりストレスもたまる。信号が短かったり、道路が狭い箇所、右折レーンがないところなど、渋滞の原因となるものがあるので改善してほしい。	地域行政	自分は障害者で、障害福祉課によく電話するが、対応がよくないと感じる。言葉遣いや言い方など。##それゆえに電話するのを躊躇してしまいそうになる。	1235877016
横浜市	住宅環境	自転車で移動の範囲に何でもあり、何をするにも便利	買物・飲食	スーパーが近くに複数あり、欲しいものを選べる	事故・犯罪		自然景観		1235938627
横浜市	買物・飲食	飲食店が充実している	公共空間	病院や区役所など行きやすい	環境共生	ゴミが多い	事故・犯罪	夜ね治安が良くない	1235489464
藤沢市	買物・飲食	家の近くにスーパー、コンビニ、ドラッグストアがある	医療・福祉	家の近くに医療機関が複数ある	地域行政	住民税が高い	自然の恵み	緑地が少ない	1229563186
相模原市	買物・飲食	最寄り駅周辺にスーパーが3件、ドラッグストア2件。コンビニは3.4件あり、時間問わず、急な買い物にも困らない。	移動・交通	最寄り駅から職場まで1時間程度かかるが、電車1本で行ける。都市部にも出やすい路線。	医療・福祉	大きな病院が縮小していっている。設備も貧弱になっていてそのうちなくなるんじゃないかと不安。対して、接骨院や処方箋薬局は飽和状態なのにまだ増えそう。	事故・犯罪	市内で凶悪事件が多い。一体どうなっているんだ。	1232532290
大和市	公共空間	設備が新しく整っている	自然の恵み	森もあり、緑が多い	事故・犯罪	治安がもっと良くなると良い	買物・飲食	お得感が少ない	1235987498
横浜市	自然災害	対策がしっかりなされてる	初等・中等教育	対策がしっかりなされてる	医療・福祉	対策がしっかりなされてる	子育て	対策がしっかりなされてる	1236318413
横浜市	住宅環境	都心へ出て行く交通の便が良い割には海、山の自然に恵まれていている。普段の買物、医療機関もそれなりに揃っている。程よく都会で程よく田舎なのが良い。	自然景観	海も山も身近に感じられ、公園も多い。	地域行政	他地域に比べても高齢者の割合が著しく多い地域の活性化はどうしたら良いのか？…。リーダーシップを取っていた年代も高齢化して次の担い手がなかなか見つからない。	移動・交通	バスルートの維持。増便は難しいかも知れないが減便は避けて欲しい。	1234683287
横浜市	買物・飲食	色んな店がある	遊び・娯楽	本数が多い	地域行政	ダメ	子育て	ダメ	1236967621
横浜市	初等・中等教育	小学校に自宅から近い	事故・犯罪	老人が多いので治安は悪くない	移動・交通	相鉄線が止まったら逃げ場無し	自然災害	古い家が多いので地震による倒壊が怖い	1236633127
川崎市	住宅環境	都市整備	移動・交通	公共交通機関	地域行政	生活保護	地域行政	税金	1233760218
茅ヶ崎市	自然景観	海が近く、駅前も商店街が広がっていて、ほどほどに発展していてとても住みやすい点。	移動・交通	東海道線と相模線があるので、小田原、都内、海老名方面へと気軽に行ける点	公共空間	図書館の平日、祝日の開業時間を２０時くらいまで伸ばしてほしい	遊び・娯楽	北口のパチンコ屋の周りがタバコ臭いので改善してほしい	1236773655
横浜市	自然景観	金沢八景に居住しており、海、山が近い。	初等・中等教育	近くに保育園～大学迄の教育機関が揃っている。	買物・飲食	近所に飲食店を増やして欲しい。	移動・交通	自転車専用道路を増やして欲しい。	1233877116
相模原市	都市景観	街並みもきれいで、とても過ごしやすい	移動・交通	利便性も良く、とてもよいと思う。	事故・犯罪	治安があまりよくないので、しっかり整備してほしいです。	デジタル生活	もっとキャンペーンを行ってほしいです。	1231631796
川崎市	買物・飲食	徒歩1~5分にコンビニ、スーパー、ドラックストア等があって便利。	移動・交通	JR、京急、臨港バス、全て徒歩圏内。	環境共生	ゴミの集積所が少し汚ない。	自然災害	少し心配。	1233466201
鎌倉市	医療・福祉	湘南鎌倉総合病院の救命救急がある。	移動・交通	交通アクセスが良い	地域行政	オーバーツーリズム	買物・飲食	飲食店が少なくなっている	1228579211
秦野市	住宅環境	都心部に比べ安価で広い	自然景観	山あり	移動・交通	電車の利便性	事故・犯罪	不審者もいる	1229439441
横浜市	買物・飲食	横浜駅周辺のお店が充実している。	住宅環境	横浜駅に近い場所に住んでいる。	子育て	子育て支援の費用を自治体から出してほしい。	初等・中等教育	教育費の補助を自治体にお願いしたい。	1237037778
横浜市	移動・交通	都心までのアクセスが楽	住宅環境	それほどごみごみしてない	子育て	保育園が少ない	買物・飲食	夜まで営業している飲食店が少ない	1235837916
