ラベル	満足度	文章	会員ID
移動・交通	不満	川崎市の中央部分に鉄道を通す計画が複数あったがいずれも中止にされてしまい不便なまま放置されている事が不満です。計画を再開してほしい。できないなら自動運転インフラ導入を積極的に取り入れる政策を行ってほしい。##市バスの本数がとても少なく交通手段としてアテにするのは難しいので本数を増やしてほしい。	1236315724
遊び・娯楽	不満	映画館が川崎に集中してるので溝の口のあたりにも誘致してほしい。	1236315724
医療・福祉	満足	大きな病院が程よい距離にいくつかあるので	1234339266
遊び・娯楽	不満	スポットとなるようなエリアが基本無いので	1234339266
自然災害	満足	今のところ水害も地震も被害を受けていない	1231394186
自然景観	満足	前に海、後が山で自然に恵まれ神社仏閣が多数ある	1233246317
医療・福祉	不満	行政の規模が政令都市に比べ小さい為行届いていない	1233246317
自然景観	満足	川の近くにいると、都市部では見られない生き物を見ることが出来るため	1233473110
移動・交通	満足	都内、横浜駅などの大きな駅への交通が便利なため	1233473110
自然災害	不満	避難所など、災害時に利用できない人が絶対数で出てくる点に関しての取り組み	1233473110
事故・犯罪	不満	幹線道路などスピードを出す車が多く、怖い点	1233473110
地域行政	不満	市が大きすぎて手が回っていない。住民に何でもやらせようとする姿勢が明らかであるところ。	1236180986
自然災害	不満	人口が多すぎて対策が不十分だと感じる。実際に災害にあったらあっという間にキャパオーバーになりそう	1236180986
買物・飲食	満足	飲食店は接待が良いところが多く、エチエンヌやリリエンベルグなどもある。	1236894835
医療・福祉	満足	自分の母は高齢なので需実したサービスが多いと思います	1234350433
自然災害	不満	富士山の噴火が一番気になる、あとすぐ停電になる	1234350433
移動・交通	満足	住んでいる地域から駅まで近い。JR、地下鉄、バスも充実している。横浜新道、国道一号線など車移動も便利。	1233038123
自然景観	満足	住宅も多いが、少しいくと自然も豊かで良い。	1233038123
医療・福祉	不満	病院は多いが、評判の良い病院はあまりきかない。	1233038123
自然景観	満足	市内や市内から見える場所に海や山があること。特に山は、季節の移り変わりを感じられてとても良い。	1237040488
移動・交通	満足	小田急線、JR線湘南新宿ラインのどちらにもアクセスしやすい点。	1237040488
地域行政	不満	諸申請のデジタル化が不十分。庁舎へ赴かずとも自宅で手続きが完結するようなシステムを構築してほしい。	1237040488
医療・福祉	不満	特定の検診や予防接種を受けられる病院が少ないと感じる。	1237040488
買物・飲食	満足	近隣に複数のスーパーや様々な飲食があり、遠出する事なく済ませられる	1231983004
事故・犯罪	不満	警察の働きはあまり関心出来ない。事故や犯罪は他地域より多く感じる。	1231983004
買物・飲食	満足	近くにスーパーが新しく出来たりしたのですぐに買い物に行ける。	1236725442
医療・福祉	不満	近くに大きな病院がなく大きな病院があるのが少し遠いから	1236725442
遊び・娯楽	不満	近くに公園が少なくもう少し公園などが多いと良いなと思います	1236725442
都市景観	満足	新しい物と古い物、現代の物と昔の物がうまく調和していて魅力的な都市になっている。	1227356168
自然の恵み	満足	都市部と郊外と自然がほどよくあり、調和していて過ごしやすい土地を形成している。	1227356168
自然の恵み	不満	大都市がある反面、海もあり、山もあり、自然に恵まれている。	1227356168
子育て	不満	昔の良いものと国際都市うまく融和していて、教育には良い環境になっている。	1227356168
住宅環境	満足	集合住宅の賃貸の家賃が都内と比べると安い	1233482526
買物・飲食	満足	大きめの商業施設が各所にあって選択肢が多いところ	1235472501
移動・交通	満足	車がなくても困らないところ。東京まで近いこと。空港や新幹線も使いやすい	1235472501
地域行政	不満	横浜で生まれ育った後、何度か地方へ引っ越してまた帰ってきました。他のところより住民サービスの質がものすごく低い。住民にお金をかけない姿勢がすごい。	1235472501
自然災害	不満	災害時人口が多すぎて対応できないのではないか。シミュレーションをしっかりしてほしい	1235472501
移動・交通	満足	横浜駅やみなとみらいに行くための交通機関が充実している。	1233779843
買物・飲食	不満	スーパーが1つあるだけで、商品価格が高いこと。	1233779843
自然災害	不満	都市部でありながら土ス砂くずれするなど災害によわい	1230928903
住宅環境	満足	大都市である東京にも近く、一方で自然も多く、バランスのいいエリアだと思っているので。	1236131468
買物・飲食	満足	チェーン展開しているお店がたくさんあり、かつ商店街の個人商店も頑張っていて、住民にとっては選択肢が色々あることが満足。	1236131468
子育て	不満	隣の東京都に比べて、子育て世代への経済的恩恵がお粗末すぎる。私立中学無償化も所得制限ありで、納税を多くしている層への配慮が全くない。大都市であるという矜持を持ってほしい。	1236131468
医療・福祉	不満	子供の所得制限なしの医療費無償化を１８歳まで拡大してほしい。	1236131468
医療・福祉	満足	精神障害者なのですが医療費が無料なのは本当にありがたいです	1234539975
事故・犯罪	満足	物騒な話は一切聞かないので治安はかなり良い方だと思います	1234539975
買物・飲食	不満	スーパーは駅周辺にしかないのでとても不便です##元々全体的に高いのですが値上げしてからは気軽に買うことができず車で隣の逗子まで買いに行っています	1234539975
移動・交通	不満	近所のバス停は朝と夕方以降以外は1時間に2本しかないのでとても不便です##せめて3本にして頂きたいです	1234539975
住宅環境	満足	一戸建てなので騒音とかがあまりきにならない	1235962111
移動・交通	不満	最終バスの時間が早いので深夜バスを出してもらいたい	1235962111
環境共生	満足	都市部でありながら、自然豊かな街で落ち着いている	1235411271
自然景観	満足	海が近く、歩いていけるので気軽に行ける。##また山もあって富士山もよく見えるので景観がいいと感じる。	1235877016
買物・飲食	満足	都市部に比べたら、お店は少ないものの、中心部には大型店舗もたくさんあり、コンビニやスーパーも各所に点在しているので、便利。	1235877016
移動・交通	不満	車の渋滞を改善してほしいと思う。##特に街中、土日などは渋滞がすごく移動にかなりの時間がかかりストレスもたまる。信号が短かったり、道路が狭い箇所、右折レーンがないところなど、渋滞の原因となるものがあるので改善してほしい。	1235877016
地域行政	不満	自分は障害者で、障害福祉課によく電話するが、対応がよくないと感じる。言葉遣いや言い方など。##それゆえに電話するのを躊躇してしまいそうになる。	1235877016
住宅環境	満足	自転車で移動の範囲に何でもあり、何をするにも便利	1235938627
買物・飲食	満足	スーパーが近くに複数あり、欲しいものを選べる	1235938627
買物・飲食	満足	家の近くにスーパー、コンビニ、ドラッグストアがある	1229563186
買物・飲食	満足	最寄り駅周辺にスーパーが3件、ドラッグストア2件。コンビニは3.4件あり、時間問わず、急な買い物にも困らない。	1232532290
移動・交通	満足	最寄り駅から職場まで1時間程度かかるが、電車1本で行ける。都市部にも出やすい路線。	1232532290
医療・福祉	不満	大きな病院が縮小していっている。設備も貧弱になっていてそのうちなくなるんじゃないかと不安。対して、接骨院や処方箋薬局は飽和状態なのにまだ増えそう。	1232532290
事故・犯罪	不満	市内で凶悪事件が多い。一体どうなっているんだ。	1232532290
住宅環境	満足	都心へ出て行く交通の便が良い割には海、山の自然に恵まれていている。普段の買物、医療機関もそれなりに揃っている。程よく都会で程よく田舎なのが良い。	1234683287
地域行政	不満	他地域に比べても高齢者の割合が著しく多い地域の活性化はどうしたら良いのか？…。リーダーシップを取っていた年代も高齢化して次の担い手がなかなか見つからない。	1234683287
移動・交通	不満	バスルートの維持。増便は難しいかも知れないが減便は避けて欲しい。	1234683287
自然景観	満足	海が近く、駅前も商店街が広がっていて、ほどほどに発展していてとても住みやすい点。	1236773655
移動・交通	満足	東海道線と相模線があるので、小田原、都内、海老名方面へと気軽に行ける点	1236773655
公共空間	不満	図書館の平日、祝日の開業時間を２０時くらいまで伸ばしてほしい	1236773655
遊び・娯楽	不満	北口のパチンコ屋の周りがタバコ臭いので改善してほしい	1236773655
初等・中等教育	満足	近くに保育園～大学迄の教育機関が揃っている。	1233877116
事故・犯罪	不満	治安があまりよくないので、しっかり整備してほしいです。	1231631796
買物・飲食	満足	徒歩1~5分にコンビニ、スーパー、ドラックストア等があって便利。	1233466201
子育て	不満	子育て支援の費用を自治体から出してほしい。	1237037778
移動・交通	満足	公共交通機関が豊富で日常の移動に困ることがほぼ無い事	1235094633
自然景観	満足	中心部を外れると自然が豊富に残っていて緑と触れ合うことが出来る	1235094633
地域行政	不満	住民税が高いわりに図書館などの施設が非常に貧弱	1235094633
買物・飲食	満足	食料品や日用品、衣類などの生活必需品を購入出来る場所の選択肢が多くある。##飲食店もチェーン店などの気軽なお店、ホテルなどの高級志向なお店、手軽な個人店など、選択肢が潤沢にある。	1230092696
都市景観	満足	みなとみらい地区は観光地としても、オフィス街としても発展を続けている。	1230092696
自然景観	不満	意外と山地が多く、緑が豊富にある。##また、山下公園や港の見える丘公園など、緑が豊富にある公園も多くある。	1230092696
移動・交通	不満	中区は都心部だと思いますが、住宅地方面の交通がバスが主になっており、鉄道は少し不便だったりする。	1230092696
移動・交通	満足	住宅地なので移動する車がないにもかかわらず##バス路線が充実している	1227374968
自然災害	不満	高台の地域のため停電時には断水になる可能性がある	1227374968
買物・飲食	満足	ご飯やスイーツなど、東京となんら遜色がないのに安くて美味しいため	1234914771
遊び・娯楽	満足	有名な観光スポットが多い。他にも近場にタダで遊べる場所や、緑も多く広い公園が多い	1234914771
デジタル生活	不満	政治家の中にデジタル面に明るい人間が全くいない	1234914771
買物・飲食	満足	アクセスしやすい場所にスーパーなどが結構ある	1236532447
事故・犯罪	不満	空き巣などが増加しているため、パトロールを増やして欲しい	1236532447
移動・交通	不満	場所によってはバスの本数が少ないので、増やして欲しい	1236532447
移動・交通	不満	道路の痛みがひどい箇所がある##交通量に対して道幅が狭い箇所がある	1236902867
住宅環境	満足	団地に住んでいるが、敷地内に学校からスーパー、病院まですべてが揃っており、ここだけで生活が完結できること。	1233599704
子育て	満足	公園や文化施設が近くにあり、子供の発達相談ができるから。	1233599704
自然の恵み	不満	地域に自然が少ないと感じる。また、車の排気ガスや工場のにおいが気になるので、改善が必要である。	1233599704
事故・犯罪	不満	治安が少し悪いように感じる。子供の成長において、心配であるから。	1233599704
住宅環境	満足	小さな町だけど気候もよく災害の心配があまり無い	1232605563
買物・飲食	不満	大きなショッピングモールが少なくもっと便利になってほしい	1232605563
医療・福祉	不満	特定検診等、隣の相模原市の病院も対象にしてほしい	1234144818
移動・交通	満足	都内にも出やすいですし、ほとんどのことは横浜市内で済ませることができるので	1232063873
デジタル生活	不満	市が率先して、デジタル生活を推し進める施策をしてほしい	1232063873
自然の恵み	満足	海があり、山もあり、緑豊かで公園等もたくさんあるところ。	1232508684
医療・福祉	不満	大きい病院が少なく、しかも古い。高齢者が多いのに、入院できるベッド数が少ないのではないかと思う。	1232508684
買物・飲食	不満	買い物難民もでるのではないかと思うほど不自由。県立大学など1か所にかたまっていて、しかも駅から遠くて、車のある人向けのお店が多い。	1232508684
移動・交通	満足	電車の駅が、鹿島田駅と新川崎駅が、徒歩10分以内にあり、バス停は、家の目の前にある。##また、駅と同様に、商業施設も充実しており、徒歩圏内にある。	1236618153
初等・中等教育	満足	小学校や中学校は、近くにあり、幼稚園や保育園もすぐ近くに、数件ある。##塾もかなり充実している。	1236618153
公共空間	不満	市役所や図書館、体育館が、同じ場所にあるが、中途半端な距離で、歩いていくにはちょっと遠いいし、バスで行くにはちょっとお金を払うには躊躇する距離にある。	1236618153
自然景観	不満	都会であるので、自然の猪足空間がない。##作られた、広場や公園は、あるが自然環境とはいいがたい。	1236618153
自然の恵み	満足	富士山と梅景観がよい。海からみる箱根連山の景観もよい	1230516385
自然景観	満足	都会すぎず田舎すぎず、少し歩けば自然を感じられる公園や川沿いには期間限定でホタルが見れる場所があったり。	1236923301
移動・交通	満足	電車で一駅二駅先には海老名や大和に出れる。##	1236923301
子育て	不満	子育て支援にもう少し力を入れて欲しい。子供が育てやすい環境だからこそ、そこが改善されれば尚良い。	1236923301
買物・飲食	不満	飲食店が少ない。最近は少しずつ増えてきたとは思うけど、駅チカは居酒屋ばっかり。	1236923301
買物・飲食	満足	買い物や飲食の商業施設が充実していることです。	1231785741
移動・交通	満足	何処に移動するにしても、バスや鉄道の便が良いことです。	1231785741
公共空間	不満	最寄駅について、エスカレーターなどが少なく階段利用となるため、高齢者のことを考えて改善して欲しいです。	1231785741
都市景観	不満	地元の街並みは都市計画なく行われているため改善して欲しいです。	1231785741
医療・福祉	満足	徒歩10分以内に内科、歯科、外科、皮膚科、総合病院等があり年寄りには大変有り難いです。	1236331001
買物・飲食	満足	スーパーや専門店が多くて買い物やショッピングに便利です。	1236331001
デジタル生活	不満	アナログでも対応してくれる、行政の確保。	1236331001
医療・福祉	不満	大都市のわりに大病院が少ない。また、すべてにおいて東京に負けてる。所得に関わらず高校の無償化や高校生までの医療費無償化もまだ。市長が頼りにならない。	1231621938
デジタル生活	不満	区役所に行かなくても手続きができるようにしてほしい	1231621938
自然の恵み	満足	少し行けばちょっとした森や竹林があり、たぬきや蛇などの遭遇率が高いです。	1235903565
移動・交通	満足	バスで30分もあればアクセスの良い駅があります。	1235903565
事故・犯罪	不満	川崎は治安が悪いと思われがちな事件が多いです。警察の対応もイマイチだとの噂を多いです。	1235903565
医療・福祉	不満	歯医者ばかりな気がします。あっても山の上など立地アクセスが悪いです。	1235903565
住宅環境	満足	雪が滅多に積もらない、晴れてる日が多い。	1236841072
住宅環境	不満	場所によって住宅街なのに風向きや時間を考えない野焼きが多くて健康被害や洗濯被害が辛い。	1236841072
遊び・娯楽	満足	いろいろな施設が徒歩圏内にまとまっている。アミューズメント施設とショッピングモールが多い。	1232255835
都市景観	満足	歴史的建造物が数多く残っている。保全活動も盛ん。	1232255835
子育て	不満	他自治体に比べて子育て関連の助成制度が少ない。給食も無料ではない。	1232255835
地域行政	不満	公務員としての矜持を感じない。隠蔽体質が目立つ。	1232255835
自然景観	満足	自宅からの景観に満足している。山の斜面の緑が間近に見える。	1229130520
買物・飲食	満足	散歩程度に歩く距離にスーパー、コンビニ、飲食店があり便利。	1229130520
買物・飲食	満足	東京まで行かなくても大体の者が手に入る便利な街だよ横浜	1233936902
公共空間	満足	東京から程よく離れていて公共機関も土地が広く建てられる	1233936902
都市景観	不満	いつでも素敵なみなとみらい地区、観光ではなく普通に散歩気分で会楽しめる	1233936902
子育て	不満	子育て支援は次世代の為の是非お願いしたい	1233936902
移動・交通	満足	新宿や横浜など都市部へのアクセスがよいため。	1236273379
自然災害	不満	海岸が近いため津波対策などが充実すると安心できる。	1236273379
デジタル生活	不満	迷子の放送など良くも悪くも田舎っぽさが残っているのでデジタル技術でアップデートできれば良いと思う。	1236273379
買物・飲食	満足	大手チェーンのお店から、地元の飲食店もたくさんあり選択肢が豊富	1237004539
自然景観	満足	海沿いの景色はやはり気持ちが良くて好きです。	1237004539
移動・交通	不満	善行団地方面から俣野小学校方面に路線バスができて欲しい。	1237004539
初等・中等教育	不満	小学校のトイレがまだ和式が多く、子供はあまり使いたがらないのでもっと洋式化してほしい。	1237004539
住宅環境	満足	東京、横浜などへのアクセスが良く、家賃が安い。	1231528317
自然災害	満足	自然災害が少なく安心して暮らせている点で満足している	1234508164
医療・福祉	満足	かかりつけの病院も大きな病院も近くにあり不安はない点	1234508164
地域行政	不満	行政が入り組んでて問題が起こった時にどの課に行けばいいかわからないこと	1234508164
事故・犯罪	満足	犯罪件数は比較的少ない方ではないかと思う	1233829605
移動・交通	不満	災害時、国道が塞がった場合、陸の孤島になる危険性が高い	1233829605
買物・飲食	満足	個人店からショッピングモールまで多種多様な店が有る	1229771340
自然景観	満足	周りが山なので景色が良くて静かで、住み心地は良いです。	1228123426
移動・交通	不満	バスが早い時間帯で無くなってしまい、タクシーも無いので、夜遅くまで出かけられない。せめてタクシーがあれば。	1228123426
買物・飲食	不満	飲食店が無いので、外食の時はかなり遠くまで行かないと。	1228123426
移動・交通	満足	小田急線の相模大野駅が最寄り駅なので、各方面へのアクセスが容易なためです。	1230341764
子育て	満足	同世代の人が比較的多く、家族ぐるみで仲良くできる人がいること	1235608322
地域行政	不満	行政とどのように関わればよいか分からない	1235608322
自然災害	不満	もし万が一大地震が発生して津波が起こったとしたら、被害を受けることが予想されるため	1232580852
遊び・娯楽	不満	バカなサーファーが多く、迷惑しているから	1232580852
住宅環境	満足	住宅街の中にあり、車の往来が少なく、夜も静かである。	1234804383
自然災害	満足	高台にあり、洪水の心配がない。また、地盤が固く地震に強いと言われている。	1234804383
移動・交通	不満	駅までバスのため、現在計画中の地下鉄が早く開通して欲しい。	1234804383
買物・飲食	不満	徒歩圏内スーパーが閉店してしまい、跡地が空いているので、そこにまたスーパーが開業して欲しい。	1234804383
地域行政	満足	地域では、学生さんとお店がコラボして何か新商品を作ったり、福祉の面も声掛けや町ぐるみでイベントなど、月内で催し物を開催し、孤独にならない様防いだりと活発に実施されているのを知っているからです。	1236231682
デジタル生活	満足	アプリで、行政の手続きやスマホなど操作がわからない場合には、様々な地域と日時が沢山あり、学習しやすくなっています。	1236231682
買物・飲食	不満	空き地があっても、採算が取れないのか、団地にあった近くのお店が閉店して、買い物も高齢者はバスに乗るか、宅配かと、重い荷物を持ってトボトボやっと歩いているのを見かけている。	1236231682
自然災害	不満	自然災害が起きる前に準備するものなど、たまにしか情報が無い、具体的に何を事前にが足りない。	1236231682
買物・飲食	満足	いろんなお店があって買い物しやすいから。	1230659682
都市景観	不満	犬のフンなどの処理をしない飼い主の人がいて歩道にフンが散らばっていることがあるから。	1230659682
買物・飲食	満足	スーパーマーケットが近隣に３件以上ある。	1227859996
医療・福祉	不満	休日に診療してくれる医療機関が増えてほしい	1227859996
地域行政	不満	区役所が遠いから、簡易でもいいから増やして欲しい	1233033918
事故・犯罪	不満	事故、犯罪を選択したが、特に気になるところはない	1233152967
自然災害	満足	自然災害での大きな影響もなく、安全性は高いと思います。	1234298005
買物・飲食	不満	駅前のスーパーは比較的充実しているのですが、商業施設が全くないので、どうにか改善して欲しいです。	1234298005
地域行政	不満	市役所での手続きの一部が駅前でも可能のようですが、もっと種類を増やして欲しいです。	1234298005
買物・飲食	満足	近所でほとんどすべての買い物が満足にできる	1232362845
医療・福祉	満足	近所に病院がたくさんあり、何かあっても困らない	1232362845
移動・交通	満足	東京にも横浜にも電車ですぐ行けるし空港も近い	1229036608
買物・飲食	満足	買い物をする場所はたくさんあって便利だから。	1230669296
移動・交通	満足	交通機関は整っているので移動は便利だから。	1230669296
都市景観	不満	犬のフンを掃除しない人がいて歩道などフンが散らばっているから。	1230669296
買物・飲食	満足	近所にスーパー、コンビニ、ドラッグストア、ホームセンターなど、全て徒歩圏内にあるから。	1236161482
自然の恵み	満足	ダム、牧場、森林、公園などがあって自然な中で過ごすことができる。	1236161482
子育て	不満	子育てに関して支援が少ない。物資の支給などないし、現金支給も乏しい。##	1236161482
初等・中等教育	不満	先生の数が圧倒的に足りない。##手がかかる子がいて支援が必要なときなど、突発的な出来事に対してフォローしてくれる人がいない。	1236161482
地域行政	不満	小田原駅周辺の設備を改善して、地域活性に繋げてほしい。小田原城、観光客はいるのに生かしきれていないところが残念。	1231476398
買物・飲食	不満	買い物をする施設が少ない。##平塚、ネットで済ませてしまうので、若い方向けのショッピングセンターが欲しい	1231476398
遊び・娯楽	満足	横浜に色々新規レジャー施設が出来てきて助かる	1236981017
自然景観	満足	近くに大きな公園があります。子供達とお弁当を持って一日楽しむことができます。	1232664828
買物・飲食	満足	電車に乗りますが、買い物で欲しいと思った物は手に入ります。助かります。	1232664828
医療・福祉	不満	大きな病院はあり安心なのですが、地域の小さな病院が少なくて発熱外来などは、混んでいるからと断られることもあります。	1232664828
移動・交通	不満	交通機関は十分あるのですが、バスが走っていない部分があります。近くの駅まで徒歩20分、近くのバス停まで10分かかります。	1232664828
医療・福祉	満足	公費負担が充実しています。精神だけでなく身体も。またそれに伴う、市営交通の(一部負担)フリーパスがあります。手続きは面倒な部分は否めませんが、窓口担当者は丁寧に説明してくれます。やはり自治体の規模に比例する、と言えます。	1234831323
移動・交通	満足	特に市営バス網が発達し、どのルートを取っても市内中心部に行くことができます。また、地下鉄もダイヤ乱れや人身事故なくスムーズに移動ができます。そして一部公費負担で市営交通と民間路線バスが全線フリーパスも魅力的です。	1234831323
事故・犯罪	不満	ニュースにセンセーショナルに取り上げられるからなのかもしれませんが、凶悪事件が多い気がします。中心部繁華街の治安維持が求められます。	1234831323
移動・交通	満足	都心へも郊外へも比較的アクセスしやすい。都心ほど渋滞ががない。####	1234357022
買物・飲食	満足	地元の施設で大体の用が足りる、必要なら都心へ買い物にいく。	1234357022
地域行政	不満	図書館が少ない　東京と比較にならないぐらいひどい	1234357022
子育て	不満	子連れでのお出かけが、混雑しているし、周りの目が気になる	1229998524
買物・飲食	満足	ショッピングセンターや飲食店が充実している	1235797705
買物・飲食	満足	百貨店もあるし、スーパーもコンビニもたくさんある	1229529111
事故・犯罪	不満	発砲事件とか殺人事件が多い。警邏を頻繁に	1229529111
移動・交通	満足	夫の職場にも近く(車通勤)、どこか遊びに行くにも電車で短時間で移動できるから。	1236746699
自然景観	満足	海が見える景色が近く、最寄りの駅はそんなに大きな駅ではないので、夜は結構星が見える。##	1236746699
環境共生	不満	ゴミの分別をさせておいて以前はプラごみを燃やしていた。ゴミの収集日も減らしてしまったし、廃品回収に対しての補助も減らしたので、業者が東京に行きたがり横浜の回数が減る結果に。もっといろいろ考えるべきではないかと思う。	1236746699
自然災害	不満	首都圏が震源地になる地震の可能性はずっと言われているので、対策は万全にしてほしい。財政難なのはわかるけど頑張って！	1236746699
遊び・娯楽	不満	観光の目玉になるような一日中遊べる大規模テーマパークがほしい	1226392831
買物・飲食	満足	都心に近いけど、物価も安いし多少自然もある	1237009584
子育て	満足	公園が多くて、遊びに連れて行きやすいため	1236536172
自然災害	不満	川があるため、氾濫のないよう対策して欲しい	1236536172
住宅環境	満足	すぐにショッピングモールがあり、買い物に不自由しない	1233398413
子育て	不満	給食費無料やもっと子育て支援に力を入れてほしい	1233398413
事故・犯罪	不満	頭おかしいのが増えてきているので抹殺してほしい	1230028626
買物・飲食	満足	スーパーが近くに複数あり、買い物に困らない。またドラッグストアもあり便利。	1231327306
移動・交通	満足	最寄り駅が始発であり座っていくことができる。	1231327306
買物・飲食	不満	買い物は良いが、良い居酒屋が少ない。数はあるが、チェーン店が多い。	1231327306
自然景観	不満	特に目立ったものがない。でもそれがなくても問題はなく、強いてあげればという感じ。それだけ現状に満足している。	1231327306
移動・交通	満足	小田急線が便利で、1時間あればだいたいどこでも行けるから	1235622943
移動・交通	満足	急行、快速、特急全て大和に停車し、横浜に20分、新宿に50分、渋谷にも全て直結で行けるところ。	1234831874
地域行政	満足	福祉と教育に惜しみなく税金を費やしているところ	1234831874
都市景観	不満	以前はあちこちに花が植えられてたが、現在市長が変わり、花が取り上げられてしまった。また花壇を再開してほしい	1234831874
地域行政	不満	あらゆる面で工夫がなく、独自の施策がない	1235744946
自然景観	満足	設問の選択肢の中で唯一適当だったのがこれだったので。	1229482904
買物・飲食	満足	地方に住んでいた時と比較するとましにはなったという感じ。	1229482904
公共空間	不満	中央駅周辺に出かけるときに使える駐車場があると便利になると思う。	1229482904
移動・交通	満足	市営地下鉄、私営線、バス便などアクセスが良い。##	1234314504
自然の恵み	不満	都市開発と並行して自然保護に注力して欲しい。	1231634092
移動・交通	満足	鉄道網で都心にも行けるし、高速道も発展していて便利##	1226854669
医療・福祉	不満	大きい病院はあるが、住宅地近くの病院があれば便利	1226854669
買物・飲食	不満	公園等を利用して移動販売など開店してほしい	1226854669
自然災害	不満	緑豊富で山も多いので災害対策をしっかりして欲しい	1235885805
買物・飲食	満足	横浜駅、桜木町駅近辺で何でも揃い、都内に出る必要がない	1227471447
事故・犯罪	満足	悪質な犯罪が発生したニュースを見る事がなく、安心して外出できる	1227471447
移動・交通	不満	京浜東北線の大船から品川間の移動時間短縮して欲しい	1227471447
子育て	不満	横浜などと比較して、教育に関する行政の補助が少ない	1232371022
住宅環境	満足	飛行機が、飛ばなければ、時計の音が、気になる程、静か。	1232065435
移動・交通	満足	高速道路あり、鉄道網も発達しており、とても便利。	1232065435
地域行政	不満	市役所職員の対応。とても、理不尽な対応された。指摘後、改善ない。	1232065435
移動・交通	不満	大型ショッピングモールが、あり、祝日、土日、道路の渋滞。	1232065435
自然景観	満足	川の両側が整備されて散歩に適しています。	1236688790
地域行政	不満	具体的にわからないがもう少し活性化してほしい。	1236688790
環境共生	不満	みどり税を徴収してるのに何も変わっていない	1227148738
買物・飲食	満足	過不足なく店が揃っていて、不自由しない点	1232648376
移動・交通	不満	コミュニティバスがもう少し便を増やすか、収容人数多めにしてほしい	1232648376
子育て	不満	ベビーカーのままバスに乗れるのはおかしい	1231595515
自然景観	満足	高い建物がないため、海や山、畑など自然が映える。	1230684963
自然の恵み	満足	三浦大根や三浦キャベツ等名産。畑が身近なので、楽しめる。	1230684963
遊び・娯楽	不満	市内、唯一の水族館が閉館してしまい、観光が出来る場所が減ってしまった。同じような観光施設が出来ると良い。	1230684963
移動・交通	不満	市内はバス、車がないと不便な場所。循環バスやタクシー等、気軽に使いたい。	1230684963
買物・飲食	満足	買い物ができる店が多く、様々なものが手に入りやすいから。	1228615629
移動・交通	不満	電車の本数が少なかったりと、交通の便が良くないことがあるから。	1228615629
環境共生	満足	駅前はなんでも揃っていて、少し離れると自然が多い。都心にも出られる交通の便利な田舎	1234635944
住宅環境	満足	住居地域の環境が、都市交通網の充実度と緑化の具合のバランスが丁度良く気に入っている。	1236021905
都市景観	満足	溝の口・小杉などの中核都市の利便性が高く、それでいて昔ながらの場所も兼ね備えている	1236021905
移動・交通	不満	田園都市線のダイヤが市内駅、特に宮崎台・宮前平に全ての犠牲を背負わせるようなダイヤになっているため、一刻も早く改善してほしい	1236021905
自然災害	不満	用途地域の関係で自然災害対策が進められない地域など、運用面での課題が多いと感じるので改善方針を示してほしい	1236021905
移動・交通	満足	3路線が使える、始発で座れる、都内に出やすい	1232065287
買物・飲食	満足	ほとんどの飲食チェーン店がある、ノクティ内ならノクティﾎﾟｲﾝﾄも付いてお得	1232065287
事故・犯罪	不満	夜の治安が悪い##歩きたばこが多い##駐輪・駐車禁止が守られていない##自転車の信号・標識無視が当たり前	1232065287
地域行政	不満	駅前の無法地帯（不法占拠、歩きたばこ、悪臭、駐車禁止）に対処してほしい	1232065287
移動・交通	満足	電車、バス、多いので移動には困らない。タクシーもくる。場所によってはタクシーがなかなか来ない所がある。ここは来る。	1229654991
事故・犯罪	不満	犯罪は怖い。見回りなど定期的にしてほしい。前は見かけたけど最近見かけない。また自転車の乗り方が非常に悪く暴走してくるから取り締まってほしい。危なすぎる。	1229654991
地域行政	不満	区役所の派出所がほしい。何かにつけて駅前の区役所に行くのはちょっと大変。派出所があるとすごく助かる。また区役所の方、まじめに人の話を聞いて欲しい。鼻で笑うのは失礼だとわからないのか不思議でならない。	1229654991
住宅環境	満足	土地建物が首都圏に割合に近いのに安価であること。	1232764043
自然景観	満足	窓から富士山や丹沢連峰の山々を眺めることができ、落ち着いた気分になること。	1232764043
地域行政	不満	高齢者に対する支援内容がよくわからないこと。	1232764043
デジタル生活	不満	デジタル行政が遅れていて、各種手続きが市役所に出向いておこわなければならないこと。	1232764043
医療・福祉	不満	障害者手帳を持っていても２級の人は経済的ほとんど恩恵をえれない	1235773347
地域行政	不満	高齢化が進み地域の町内会の当番がすぐ回ってくる。やめる人も多いので外部にやってもらいたい	1235773347
自然災害	満足	大きな地震もないし、津波の被害の可能性も低い	1230554023
住宅環境	満足	昔から住んでいる人も多く、買い物も近くにあるから	1236292291
医療・福祉	満足	困った時にすぐに対応してくれる医療機関が近くにあるから	1236292291
環境共生	不満	道が狭く通学路が不安になることが多々ある	1236292291
自然景観	不満	私有地の木が伸びすぎていて停電になったことがあったり背の高いトラックが通れなくなりそうなので行政代行執行して欲しい	1230517456
デジタル生活	不満	役所がやや離れているので、自宅でも処理可能の範囲が拡張されると良い	1229835441
移動・交通	満足	駅から徒歩２分に自宅がありますが、以外と静かです	1234350116
買物・飲食	満足	駅近にスーパーやコンビニがあるので２４時間、不便に感じる事はないです	1234350116
遊び・娯楽	不満	もう少しで高度な大人の遊び場を作ってほしい	1234350116
買物・飲食	満足	自宅近くにクロスガーデン、通勤途上にラゾーナ川崎があり便利。	1234487274
